The material consts of fiber  is:  379.200,    0.210
The material consts of matrix is:   68.900,    0.330
The volume fraction of fiber  is:    0.267

Succeed in reading mesh info from Gmsh file!
Total number of nodes is 1320
Total number of  Dofs is 3960
Total number of elems is 5564

Succeed in creating Pairs from GMSH Periodic info!
Total number of Pairs: 413
X direction Pairs: total number is 158
Slave nodes   Master nodes 
7 	 	 4
11 	 	 38
12 	 	 39
13 	 	 40
14 	 	 41
15 	 	 42
16 	 	 43
17 	 	 44
18 	 	 45
19 	 	 46
20 	 	 47
21 	 	 48
22 	 	 49
23 	 	 50
24 	 	 51
25 	 	 52
26 	 	 53
27 	 	 54
28 	 	 55
373 	 	 404
374 	 	 405
375 	 	 406
376 	 	 407
377 	 	 408
378 	 	 409
379 	 	 410
380 	 	 411
381 	 	 412
382 	 	 413
383 	 	 414
384 	 	 415
385 	 	 416
386 	 	 417
387 	 	 418
388 	 	 419
389 	 	 420
390 	 	 421
391 	 	 422
392 	 	 423
393 	 	 424
394 	 	 425
395 	 	 426
396 	 	 427
397 	 	 428
398 	 	 429
399 	 	 430
400 	 	 431
401 	 	 432
402 	 	 433
403 	 	 434
1 	 	 2
8 	 	 3
9 	 	 5
10 	 	 6
101 	 	 56
102 	 	 57
103 	 	 58
104 	 	 59
105 	 	 60
106 	 	 61
107 	 	 62
108 	 	 63
109 	 	 64
128 	 	 65
129 	 	 66
130 	 	 67
131 	 	 68
132 	 	 69
133 	 	 70
134 	 	 71
135 	 	 72
136 	 	 73
146 	 	 74
147 	 	 75
148 	 	 76
149 	 	 77
150 	 	 78
151 	 	 79
152 	 	 80
153 	 	 81
154 	 	 82
155 	 	 83
156 	 	 84
157 	 	 85
158 	 	 86
159 	 	 87
160 	 	 88
161 	 	 89
162 	 	 90
163 	 	 91
917 	 	 435
918 	 	 436
919 	 	 437
920 	 	 438
921 	 	 439
922 	 	 440
923 	 	 441
924 	 	 442
925 	 	 443
926 	 	 444
927 	 	 445
928 	 	 446
929 	 	 447
